moisture,rainfall,humidity,meanTemp,maxTemp,minTemp,alkaline,sandy,chalky,clay,label
12.80168453,0.0123605,57,62,71,52,0,1,0,0,2
12.85165378,0.00417157,57,58,73,43,0,1,0,0,0
12.7767735,0,56,58,69,46,0,0,1,0,4
12.94200101,0.03174683,62,56,70,43,0,1,0,0,0
12.98465248,,65,56,70,42,0,0,0,1,1
12.96447065,0.02719149,65,58,70,46,1,0,0,0,0
12.73799817,0.02682104,61,56,70,42,0,0,0,1,1
12.81938179,0.01028368,58,57,72,42,0,0,0,1,1
12.88390946,0.02046472,63,60,76,45,0,0,1,0,0
12.78451285,0.06005408,62,59,71,47,0,1,0,0,4
12.96881184,0.0841193,56,58,69,46,0,1,0,0,2
12.7843595,0,63,56,,42,1,0,0,0,4
12.94458595,0,67,58,72,43,0,1,0,0,4
12.92528314,0.12447929,58,60,75,46,0,0,0,1,1
12.82106565,0.07450455,59,58,68,49,1,0,0,0,0
12.93921935,0.09858411,53,60,68,53,0,0,0,1,1
12.81587164,0.222845899999999,62,60,69,50,1,0,0,0,0
13.05680988,0.12855534,59,56,67,45,0,1,0,0,2
12.89795679,0.11341892,58,54,68,40,0,1,0,0,0
13.0346369,0.08006364,58,53,68,38,1,0,0,0,0
13.02395422,0.0776757,66,55,63,47,1,0,0,0,0
12.86211512,0.09419903,71,57,68,46,0,0,1,0,0
12.85579057,0.08925248,72,53,63,43,1,0,0,0,0
12.93984685,0.11055694,65,53,66,40,1,0,0,0,0
12.94620194,0.12220198,84,55,60,50,0,0,0,1,1
12.83171628,0.1796935,73,56,69,43,0,0,0,1,1
13.12205893,0.28862131,73,60,73,48,,0,0,0,0
12.71724703,0.26717011,54,60,70,50,1,0,0,0,4
12.79423954,0.18105142,57,58,69,48,0,1,0,0,4
12.96098767,0.15220806,59,59,68,50,0,1,0,0,2
12.82075799,0.05361401,64,,69,51,0,0,0,1,1
12.80227313,0.16287162,52,55,69,41,0,1,0,0,0
12.80762843,0.29396519,61,54,69,39,1,0,0,0,0
12.88914851,0.17685429,49,59,73,45,1,0,0,0,0
12.93924725,0.1784297,52,65,75,55,1,0,0,0,0
13.0384665,0.12850257,59,64,75,54,0,0,0,1,1
12.64167089,0.05435099,71,64,75,54,0,1,0,0,4
12.96697487,0.03544632,63,67,78,56,1,0,0,0,0
13.07037221,0.07244817,73,68,76,59,0,0,0,1,1
12.94320219,0.13790993,85,65,74,56,0,0,0,1,1
12.83714428,0.26461286,72,68,74,61,,0,0,0,0
12.85564934,0.27772908,61,68,75,60,0,1,0,0,0
12.89695812,0.33147006,57,71,84,58,1,0,0,0,0
12.79338186,0.291240999999999,43,72,80,64,1,0,0,0,4
12.83275473,0.20511291,45,70,81,58,0,0,0,1,1
12.93266161,0.20236105,58,68,78,57,1,0,0,0,0
13.04729525,0.16655553,,64,76,53,1,0,0,0,0
12.99599641,0.13364869,35,68,79,56,0,1,0,0,2
12.97598855,0.16297403,33,61,75,47,0,0,0,1,2
12.96488571,0.26244029,24,57,70,44,0,0,0,1,2
12.96671934,0.34866006,34,56,66,47,0,1,0,0,2
12.89354329,0.3132829,36,58,70,46,1,0,0,0,0
12.92064282,0.24893817,,54,68,41,0,1,0,0,0
12.95699985,0.21139503,38,58,74,42,1,0,0,0,0
13.00500901,0.18104788,42,63,78,48,0,1,0,0,2
12.94590855,0.16706095,36,65,80,50,0,0,0,1,2
12.86579061,0.205639799999999,45,68,83,52,0,0,0,1,1
12.86920432,0.19301918,44,70,86,55,0,1,0,0,2
12.9500147,0.29078419,45,75,87,63,0,0,0,1,1
13.04582057,0.31073026,50,76,88,63,1,0,0,0,0
12.79225003,0.253562399999999,47,76,86,65,0,1,0,0,4
12.84497027,0.28809325,48,78,90,66,1,0,0,0,0
12.87651912,0.27789621,59,77,89,65,0,1,0,0,2
12.88004896,0.23477725,61,72,83,62,0,0,0,1,1
12.75241677,0.25988332,59,76,85,66,0,1,0,0,4
12.99225952,0.23821256,61,74,83,66,0,1,0,0,0
12.81282518,0.24275834,52,75,86,64,0,0,0,1,1
12.86900585,0.21390753,68,72,80,63,0,0,0,1,1
12.82901,0.22267875,62,68,80,57,1,0,0,0,0
12.98339476,0.22460861,64,66,77,56,0,0,0,1,1
12.69593817,0.20867334,58,68,82,54,1,0,0,0,4
12.93517397,0.22015464,48,73,87,59,0,0,0,1,1
13.08369857,0.24147998,36,78,91,64,1,0,0,0,0
12.85121798,0.28560557,40,80,95,65,0,0,0,1,2
13.02514127,0.301119,33,82,97,66,0,0,0,1,2
12.8965992,0.25605625,33,82,97,67,0,1,0,0,2
12.891914,0.24019075,33,80,96,65,0,1,0,0,2
12.90473543,0.24572588,35,80,96,63,0,1,0,0,2
12.95653115,0.27386408,43,79,92,66,0,0,0,1,1
12.93295397,0.23189624,36,81,96,66,0,1,0,0,2
12.88135765,0.27144763,43,76,86,66,1,0,0,0,0
13.05383788,0.15342658,32,76,89,62,1,0,0,0,0
12.71946763,0.14389701,37,74,87,60,0,0,0,1,4
13.07791711,0.08972662,34,75,90,60,1,0,0,0,0
12.97638176,0.09120516,27,80,97,62,0,1,0,0,2
12.91358741,0.137277799999999,28,84,94,73,1,0,0,0,0
12.85613556,0.10768843,28,84,94,74,0,1,0,0,2
12.81972198,0.07695559,22,78,93,64,1,0,0,0,0
12.87508403,0.10906583,21,82,91,73,0,1,0,0,2
12.80488196,0.12941,23,76,88,63,0,0,0,1,2
12.85937622,0.09000015,21,75,91,59,1,0,0,0,0
,0.09558814,23,77,95,59,1,0,0,0,0
12.70182541,0.08988969,21,79,97,61,0,0,0,1,4
12.93267546,0.12240879,22,80,98,61,0,0,0,1,2
12.90349709,0.08412435,22,84,101,66,0,1,0,0,2
12.79976749,0.04538749,18,85,104,66,1,0,0,0,4
12.83555461,0.07730968,15,88,102,74,0,0,0,1,2
12.74881273,0.07068936,13,81,94,68,,0,0,0,4
12.88368141,0.0151269,11,76,89,62,0,0,0,1,2
12.86520303,0.01387918,14,72,86,59,0,0,0,1,2
13.00793468,0.08298048,19,68,87,50,1,0,0,0,0
12.93156969,0.0545119,17,77,91,63,0,1,0,0,2
12.95548102,0.06093378,22,,97,63,0,0,0,1,2
12.92532857,0,22,84,101,67,0,0,0,1,4
12.79884075,0.02043946,16,84,100,69,1,0,0,0,4
12.8922017,0.00642048,15,90,100,79,1,0,0,0,0
12.93210979,0.03583846,17,84,98,70,0,1,0,0,2
12.86633092,0.06777985,20,85,100,70,1,0,0,0,0
12.99457432,0.04620565,22,86,103,68,0,0,0,1,2
12.81932721,0.01812981,18,90,104,75,0,0,0,1,2
12.97780575,0.04954826,21,90,106,75,0,0,0,1,2
12.84481326,0.05862999,19,90,102,78,1,0,0,0,0
12.87858252,0.12675816,31,88,100,69,1,0,0,0,0
13.16848358,0.11645147,40,84,99,70,0,1,0,0,2
13.03350541,0.06654542,34,84,100,68,1,0,0,0,0
12.85667124,0.10557575,30,86,100,71,0,0,0,1,2
12.79855652,0.18707732,38,86,99,72,0,1,0,0,4
13.0424414999999,0.09733837,65,78,92,65,0,1,0,0,0
13.06713169,0.01139799,64,74,83,66,1,0,0,0,0
12.84861673,0.0393005,57,80,94,66,0,1,0,0,2
12.76143094,0.01833598,43,82,93,71,0,0,0,1,1
12.77739937,0,47,84,97,72,0,1,0,0,4
12.98599461,0.01841964,48,79,88,70,1,0,0,0,0
12.98904523,0,45,81,94,68,0,1,0,0,4
12.89762805,0,40,82,95,70,1,0,0,0,4
13.04044767,0,41,86,99,72,1,0,0,0,4
13.02292811,0,29,91,103,79,1,0,0,0,0
12.84824231,0.00181029999999999,23,94,103,84,0,0,0,1,0
13.03967293,0,24,88,100,75,1,0,0,0,4
12.87747333,0,22,86,100,72,0,0,0,1,4
12.78374402,0,19,86,102,69,0,1,0,0,4
12.7877091,0,18,90,104,75,0,0,1,0,3
13.15602816,0,20,93,108,78,0,1,0,0,0
12.99800009,0,21,90,106,75,0,0,0,1,0
12.86535313,0.00014373,18,92,,78,0,0,0,1,0
12.92328913,0,19,92,109,75,1,0,0,0,0
12.97671711,0,16,96,108,85,1,0,0,0,0
12.91136027,0,24,92,104,79,0,1,0,0,0
12.71082157,0,28,95,110,80,1,0,0,0,0
12.92824152,0.00948428,18,94,111,78,0,1,0,0,2
12.75012498,0,17,93,109,77,1,0,0,0,0
12.92398113,0,24,96,107,84,0,0,0,1,0
12.86359968,0,20,94,106,82,1,0,0,0,0
13.05844561,0,25,95,108,82,1,0,0,0,0
12.8842024,0,23,93,108,78,0,0,0,1,0
12.91362748,0,17,94,108,81,0,1,0,0,0
13.07964541,0,19,92,106,77,1,0,0,0,0
12.90118754,0,17,90,106,75,0,0,1,0,0
12.9457308,0,22,92,101,84,1,0,0,0,0
12.83778476,0,27,88,102,75,1,0,0,0,4
12.80567001,0,16,91,104,78,1,0,0,0,0
12.81552503,0,17,92,,77,1,0,0,0,0
12.92430232,0,21,94,108,79,1,0,0,0,0
,0.0280096,21,94,107,81,0,1,0,0,2
12.74584578,0.02282416,27,98,112,84,0,0,0,1,3
12.80519281,0.01609646,25,98,111,86,1,0,0,0,0
12.7548269,0,19,98,110,86,0,1,0,0,3
12.96431276,0,41,92,105,78,1,0,0,0,0
12.93740572,0,42,86,101,72,0,0,0,1,1
12.98323789,0,29,90,105,75,1,0,0,0,0
13.00284363,0,27,94,107,80,0,1,0,0,0
12.84606001,0,25,95,108,82,0,1,0,0,0
12.81510243,0,26,90,105,76,0,0,0,1,0
12.97176935,0,26,92,104,80,0,1,0,0,0
12.82662659,0,35,90,103,77,0,0,1,0,0
12.99055132,0,29,92,106,78,1,0,0,0,0
12.92437543,0,23,95,107,83,0,1,0,0,0
12.86078583,0.023315,23,96,109,83,0,0,0,1,2
12.91096848,0.00233476,21,96,108,84,1,0,0,0,0
12.8021534,0,22,99,111,87,0,0,0,1,0
12.6623916,0.01957236,27,98,108,87,1,0,0,0,0
12.8593074,0.01978735,32,100,111,88,1,0,0,0,0
12.69535264,0,43,94,106,83,1,0,0,0,0
12.97292146,0,64,86,98,73,0,0,0,1,1
12.74332259,0,69,86,97,74,0,0,0,1,1
12.78093314,0,62,92,101,82,0,1,0,0,0
12.76967675,0,74,85,93,77,0,1,0,0,4
12.65737421,0,88,76,81,71,0,1,0,0,4
12.97009424,0,87,82,90,75,1,,0,0,4
12.95790528,0,75,85,93,77,1,0,0,0,4
12.80766071,0,70,86,94,79,1,0,0,0,4
12.98161439,0,59,88,97,79,0,1,0,0,4
12.84228447,0,62,88,95,81,0,1,0,0,4
12.96553339,0,69,86,95,76,1,0,0,0,4
13.06318621,0.00464197,70,82,90,74,0,1,0,,0
12.80879208,0.05501373,81,82,87,76,0,1,0,0,0
12.89586068,0.00907195,91,77,85,69,0,1,0,0,0
12.9008969,0.03395804,74,83,92,74,1,0,0,0,0
12.94029116,0.02107807,68,85,95,75,0,1,0,0,0
12.86102311,0.0216865999999999,62,86,98,75,0,1,0,0,0
12.98964283,,58,89,99,79,0,1,0,0,2
13.01608558,0.01431591,64,86,93,79,0,0,0,1,1
12.96442041,0,68,82,89,75,0,0,0,1,1
12.71848089,0,86,82,88,76,0,1,0,0,4
13.038192,0,100,74,77,72,0,0,0,1,0
12.87156563,0.02482661,93,78,83,72,0,1,0,0,0
12.90961693,0,93,78,83,74,0,1,0,0,0
12.79487911,0,96,78,82,73,1,0,0,0,0
12.91505701,0.0012627,86,82,91,72,0,1,0,0,0
12.86809714,0,59,84,94,75,0,1,0,0,4
12.93196798,0,69,84,92,75,0,1,0,0,4
13.03810824,0,61,85,92,78,1,0,0,0,4
13.04107319,0,61,84,93,76,1,0,0,0,4
12.81880869,0,62,86,95,76,0,0,0,1,1
12.97071347,0,58,86,96,76,0,0,0,1,1
12.78119805,0,68,86,96,77,1,0,0,0,4
12.75788358,0,75,88,97,78,1,0,0,0,4
12.94244416,0,75,84,92,76,1,0,0,0,4
12.99851941,0,86,83,89,77,0,1,0,0,4
12.98017627,0,88,83,90,76,0,1,0,0,4
12.82287758,0,87,84,91,77,0,0,0,1,1
12.77816935,0,79,84,93,76,0,1,0,0,4
12.75202777,0,74,86,94,79,0,0,0,1,1
12.81406496,0,74,85,92,78,0,1,0,0,4
12.80867488,0,75,86,93,78,0,0,0,1,1
13.04449408,0,71,86,96,77,1,0,0,0,4
12.94497416,0,77,83,87,79,0,0,0,1,1
12.89902403,0,76,81,86,76,0,1,0,0,4
13.00938829,0,62,80,88,73,1,0,0,0,4
12.99431605,0.00279849,60,83,92,73,0,1,0,0,0
12.80411072,0,57,84,94,73,0,1,0,0,4
12.79365661,0.05569939,61,85,95,75,0,1,0,0,4
13.03831299,0.00322873,59,83,94,72,0,1,0,0,0
12.78821294,0,60,82,94,71,0,1,0,0,4
12.82729449,0,57,86,96,75,0,1,0,0,4
12.83767309,0,58,86,96,77,0,1,0,0,4
12.96863219,0.0017236,56,87,96,78,1,0,0,0,0
12.81612171,0.02568465,72,86,95,77,1,0,0,0,0
12.81421275,0.03114444,81,82,90,74,0,0,0,1,1
12.79395096,0.00542341,76,82,90,74,1,0,0,0,4
12.86866177,0.05764539,68,84,94,74,1,0,0,0,0
12.76361539,0.05615822,67,87,99,75,0,1,0,0,4
12.81346734,0.12807676,63,84,94,74,1,0,0,0,0
12.6653881,0.09054553,61,84,95,73,0,0,0,1,1
12.96601214,0.08645341,59,83,94,72,1,0,0,0,0
13.06056781,0.08125601,58,83,94,72,1,0,0,0,0
13.01369587,0.12160108,55,82,94,70,0,1,0,0,2
12.90812938,0.0896692,58,82,96,69,0,1,0,0,2
12.99891978,0.06855089,55,84,97,71,0,0,0,1,1
12.83417558,0,49,85,98,72,0,1,0,0,4
12.92001739,0,45,87,100,74,0,1,0,0,4
12.9204645999999,0.01430875,43,88,99,78,0,0,0,1,1
12.91773191,0,45,87,98,76,0,0,0,1,1
12.97911447,0.01929464,42,88,99,76,0,0,0,1,1
12.83907289,0.00153143,38,90,103,76,1,0,0,0,0
12.82668794,0.03682198,33,92,102,81,0,1,0,0,2
12.86236542,0.09207753,44,91,103,79,0,0,0,1,1
12.8858564,0.01210957,51,89,102,76,1,0,0,0,0
12.69884914,0,55,90,104,76,1,0,0,0,0
12.81447154,0,62,86,93,79,1,0,0,0,4
12.89036676,0,80,82,90,75,1,0,0,0,4
12.92069051,0,65,85,96,74,0,1,0,0,4
12.76920568,0.01277463,71,85,95,75,0,0,1,0,4
12.82614842,0,73,84,93,75,1,0,0,0,4
12.78536755,0,72,82,91,73,0,1,0,0,4
12.83268871,0,65,84,93,74,0,1,0,0,4
12.94441614,0.0037788,75,81,86,76,1,0,0,0,0
13.09024383,0,91,78,85,72,0,1,0,0,0
13.11317191,0.00237129,72,80,87,72,1,0,0,0,0
13.05115818,0,68,80,89,71,0,1,0,0,4
12.99904719,0,74,81,90,72,1,0,0,0,4
12.92745193,0,67,84,93,75,0,0,0,1,1
13.03979021,0,63,86,95,77,0,1,0,0,4
13.0221138,0,64,88,97,78,0,0,0,1,1
12.79414338,0,74,82,90,75,1,0,0,0,4
12.88158709,0,83,82,88,77,1,0,0,0,4
12.99286058,0,98,74,77,70,0,1,0,0,0
12.71536974,0,80,83,95,71,0,0,0,1,1
12.84082697,0,72,78,88,68,0,1,0,0,4
12.90668153,0,68,80,91,68,0,0,1,0,4
13.02253324,0,65,81,92,70,1,0,0,0,4
12.83321226,0,61,80,92,69,1,0,0,0,4
12.84397846,0,57,82,95,70,0,1,0,0,4
12.81902505,0,52,82,94,71,1,0,0,0,4
12.80943308,0,48,82,94,70,1,0,0,0,4
12.82666294,0,49,82,94,70,0,0,1,0,4
